Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Mean,Bwd IAT Std,Fwd Packets/s,Bwd Packets/s,Packet Length Mean,Packet Length Std,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Active Mean,Idle Mean
1,7416288.000,12039,419,686223,23883,57.000,0.000,57.000,0.000,95749.518,1679.816,964.315,63918.170,382.341,284.231,17730.146,348485.312,1672.409,56.497,57.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,12039,686223,419,23883,0.001,0.999
1,78685979.000,40168,298,160672,1192,4.000,0.000,4.000,0.000,2057.088,514.272,3138.521,387607.981,1203.017,910.517,264925.973,4516569.202,514.974,3.787,4.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,40156,160624,297,1188,0.000,1.000
1,11492992.000,15175,299,1684425,33189,111.000,0.000,111.000,0.000,149448.812,1346.386,1201.640,90530.930,468.185,348.504,38558.403,651204.641,1343.079,26.016,111.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,15167,1683537,299,33189,0.001,0.999
1,165189557.000,50242,485,89172781,249544,1774.865,1190.923,514.524,940.663,541331.587,307.084,5609.980,407885.955,2376.457,38659.360,341289.769,4143313.678,305.541,2.936,1762.000,1195.085,0,0,0,0,0,0,2633.000,33031.000,2633.000,79.000,50242,89172781,485,249544,0.000,1.000
1,23610352.000,22045,232,5356935,56376,243.000,0.000,243.000,0.000,229277.014,943.527,1714.218,123029.789,661.402,493.578,102200.684,1203861.497,943.572,9.826,243.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,22045,5356935,232,56376,0.001,0.999
1,28367981.000,20853,249,29948124,176961,1436.154,1980.061,710.687,1369.685,1061939.692,743.867,2323.303,140530.537,990.855,19358.173,114379.173,1279043.067,736.233,8.778,1427.000,1975.483,0,0,0,0,0,0,4722.000,5555.000,4722.000,26.000,20853,29948124,249,176961,0.000,1.000
1,39025076.000,28044,299,112176,1196,4.000,0.000,4.000,0.000,2905.106,726.277,2229.242,229105.795,861.602,660.133,130947.550,2230470.345,726.506,7.662,4.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,28043,112172,299,1196,0.000,1.000
1,77161717.000,39496,219,12757208,70737,323.000,0.000,323.000,0.000,166247.532,514.698,3145.298,384780.241,1209.188,927.841,353944.234,5181381.713,514.966,2.838,323.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,39496,12757208,219,70737,0.000,1.000
1,66446053.000,36606,287,146424,1148,4.000,0.000,4.000,0.000,2220.930,555.232,2911.800,342933.437,1119.587,900.089,232320.500,3887935.601,555.489,4.319,4.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,36597,146388,286,1144,0.000,1.000
1,35607954.000,26688,207,8620224,66861,323.000,0.000,323.000,0.000,243964.733,755.309,2142.317,215471.388,824.885,634.007,172838.485,2455902.629,754.906,5.813,323.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,26688,8620224,207,66861,0.000,1.000
