Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Mean,Bwd IAT Std,Fwd Packets/s,Bwd Packets/s,Packet Length Mean,Packet Length Std,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Active Mean,Idle Mean
1,9139072.000,10,10,600,600,60.000,0.000,60.000,0.000,131.304,2.188,859298.100,577936.869,1005872.375,437860.311,1015442.556,645765.027,1.094,1.094,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,600,9,540,0.000,1.000
1,27309888.000,15,15,900,900,60.000,0.000,60.000,0.000,65.910,1.099,1788729.200,333659.026,2027086.692,170787.195,1950696.357,329591.197,0.549,0.549,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,15,900,14,840,0.000,1.000
1,3999071.000,5,5,300,300,60.000,0.000,60.000,0.000,150.035,2.501,700405.100,302367.088,1007982.333,14187.029,995026.000,45716.554,1.250,1.250,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,300,4,240,0.000,1.000
1,9696935.000,10,10,600,600,60.000,0.000,60.000,0.000,123.750,2.063,807173.250,1391766.809,805831.500,1394542.911,1077423.667,1362755.420,1.039,1.031,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,600,9,540,0.000,1.000
1,7256167.000,10,10,600,600,60.000,0.000,60.000,0.000,165.377,2.756,689056.150,860213.038,839615.250,696369.820,784911.222,968156.582,1.487,1.378,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,600,10,600,0.000,1.000
1,7256670.000,10,10,5160,5160,516.000,0.000,516.000,0.000,1422.140,2.756,713778.400,958098.908,901370.625,843370.668,784955.889,1032144.169,1.385,1.378,516.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,5160,10,5160,0.000,1.000
1,8597854.000,10,10,5160,5160,516.000,0.000,516.000,0.000,1200.300,2.326,807741.550,751156.707,992242.500,662767.546,912987.889,796235.328,1.163,1.163,516.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,5160,10,5160,0.000,1.000
1,25134935.000,20,20,10320,10320,516.000,0.000,516.000,0.000,821.168,1.591,1230556.600,1348193.011,1338191.556,1289830.385,1322885.053,1394267.919,0.797,0.796,516.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,20,10320,19,9804,0.000,1.000
1,3835402.000,5,5,300,300,60.000,0.000,60.000,0.000,156.437,2.607,667635.100,300350.055,987165.667,27294.148,928713.500,112126.162,1.305,1.304,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,300,5,300,0.000,1.000
1,28290911.000,15,15,900,900,60.000,0.000,60.000,0.000,63.625,1.060,1813362.233,1582120.948,2008464.231,1562166.952,2020773.714,1575754.072,0.533,0.530,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,14,840,14,840,0.000,1.000
1,25332920.000,15,15,900,900,60.000,0.000,60.000,0.000,71.054,1.184,1672767.933,1240820.647,1933615.769,974030.942,1789002.357,1418321.700,0.592,0.592,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,15,900,15,900,0.000,1.000
1,5731868.000,7,7,420,420,60.000,0.000,60.000,0.000,146.549,2.442,778884.143,533352.696,1034682.400,187927.768,955161.000,637563.974,1.241,1.221,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,7,420,6,360,0.000,1.000
1,9359131.000,10,10,600,600,60.000,0.000,60.000,0.000,128.217,2.137,873221.250,470873.874,1013247.500,187263.579,1039827.222,585193.183,1.092,1.068,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,600,9,540,0.000,1.000
1,9009747.000,10,10,600,600,60.000,0.000,60.000,0.000,133.189,2.220,822621.100,531435.931,930344.125,324808.882,1001074.333,630498.924,1.110,1.110,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,600,9,540,0.000,1.000
1,28274036.000,15,15,900,900,60.000,0.000,60.000,0.000,63.663,1.061,1813927.567,768516.051,2016611.000,529974.236,2014420.286,894367.366,0.532,0.531,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,14,840,15,900,0.000,1.000
1,14530371.000,11,11,704,704,64.000,13.206,64.000,12.649,96.900,1.514,1290626.409,1619556.039,1562721.667,1621213.014,1432928.600,1590989.226,0.757,0.757,64.000,12.649,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,600,10,600,0.000,1.000
1,9053222.000,10,10,5160,5160,516.000,0.000,516.000,0.000,1139.926,2.209,855693.850,231611.836,1007590.000,157881.071,1005906.333,189995.213,1.105,1.105,516.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,5160,9,4644,0.000,1.000
1,5810292.000,7,7,420,420,60.000,0.000,60.000,0.000,144.571,2.410,771315.714,232571.588,997809.000,74589.082,968229.167,114033.500,1.220,1.205,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,7,420,6,360,0.000,1.000
1,8880930.000,10,10,5160,5160,516.000,0.000,516.000,0.000,1162.040,2.252,850492.950,170164.382,1016144.625,45582.629,986744.667,99456.180,1.126,1.126,516.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,5160,9,4644,0.000,1.000
1,12171356.000,8,8,480,480,60.000,0.000,60.000,0.000,78.874,1.315,1454024.312,1847530.190,1848851.833,1871103.777,1738754.000,1767353.784,0.659,0.657,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,7,420,6,360,0.000,1.000
1,28291054.000,30,30,1800,1800,60.000,0.000,60.000,0.000,127.249,2.121,939278.883,402563.589,1003213.679,283298.766,974715.517,485626.989,1.061,1.060,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,30,1800,29,1740,0.000,1.000
1,27947919.000,15,15,900,900,60.000,0.000,60.000,0.000,64.406,1.073,1801993.267,417782.117,2008638.923,318711.824,1996249.429,406087.547,0.538,0.537,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,15,900,14,840,0.000,1.000
1,149106.000,1,1,60,60,60.000,0.000,60.000,0.000,804.797,13.413,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.707,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,60,1,60,0.000,1.000
1,15656416.000,11,11,660,660,60.000,0.000,60.000,0.000,84.310,1.405,1399047.591,1921984.244,1683712.111,1943507.272,1562563.800,1876027.188,0.703,0.703,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,600,10,600,0.000,1.000
1,29872753.000,30,30,1800,1800,60.000,0.000,60.000,0.000,120.511,2.009,980081.483,362499.609,1033296.464,339354.951,1030089.241,376636.489,1.004,1.004,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,30,1800,29,1740,0.000,1.000
1,14029923.000,10,10,644,644,64.400,13.837,64.400,13.200,91.804,1.426,1336134.350,1688269.847,1622624.125,1724977.309,1526854.889,1621589.840,0.713,0.713,64.000,13.206,0,0,0,0,0,0,0.000,0.000,0.000,0.000,9,540,9,540,0.000,1.000
1,18134982.000,19,19,1976,1976,104.000,0.000,104.000,0.000,217.921,2.095,927052.421,189484.619,1005705.059,137352.326,1007278.111,199293.411,1.048,1.048,104.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,19,1976,18,1872,0.000,1.000
1,181.000,1,1,60,60,60.000,0.000,60.000,0.000,662983.425,11049.724,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5524.862,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,60,0,0,0.000,1.000
1,20988688.000,20,20,2080,2080,104.000,0.000,104.000,0.000,198.202,1.906,1024021.150,654456.496,1109569.444,503291.544,1104662.947,762021.460,0.953,0.953,104.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,20,2080,19,1976,0.000,1.000
1,9074662.000,10,10,600,600,60.000,0.000,60.000,0.000,132.236,2.204,858388.600,1046122.492,1011790.500,859852.181,1008160.889,1169017.611,1.102,1.102,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,600,9,540,0.000,1.000
1,159.000,1,1,60,60,60.000,0.000,60.000,0.000,754716.981,12578.616,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6289.308,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,60,0,0,0.000,1.000
1,4043868.000,5,5,300,300,60.000,0.000,60.000,0.000,148.373,2.473,705678.000,307879.300,1004320.333,1162.950,1010954.750,76135.206,1.236,1.236,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,300,4,240,0.000,1.000
1,64.000,1,1,60,60,60.000,0.000,60.000,0.000,1875000.000,31250.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15625.000,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,60,0,0,0.000,1.000
1,4066053.000,5,5,300,300,60.000,0.000,60.000,0.000,147.563,2.459,713414.000,576214.042,1022758.000,22511.361,1016466.500,645792.860,1.265,1.230,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,300,4,240,0.000,1.000
1,29344993.000,30,30,1800,1800,60.000,0.000,60.000,0.000,122.679,2.045,958561.800,559127.235,1006031.107,510850.098,1011890.931,597894.519,1.027,1.022,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,30,1800,29,1740,0.000,1.000
1,56.000,1,1,60,60,60.000,0.000,60.000,0.000,2142857.143,35714.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17857.143,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,60,0,0,0.000,1.000
1,394.000,1,1,60,60,60.000,0.000,60.000,0.000,304568.528,5076.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2538.071,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,60,0,0,0.000,1.000
1,18185554.000,19,19,1976,1976,104.000,0.000,104.000,0.000,217.315,2.090,929195.447,207243.150,1007292.471,196063.930,1010303.056,186732.839,1.048,1.045,104.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,19,1976,18,1872,0.000,1.000
1,7890.000,1,1,60,60,60.000,0.000,60.000,0.000,15209.125,253.485,0.000,0.000,0.000,0.000,0.000,0.000,0.000,126.743,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,60,0,0,0.000,1.000
1,8991031.000,10,10,600,600,60.000,0.000,60.000,0.000,133.466,2.224,849295.950,171173.408,999369.500,51436.028,998995.889,102779.794,1.112,1.112,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,600,9,540,0.000,1.000
1,8957019.000,10,10,600,600,60.000,0.000,60.000,0.000,133.973,2.233,849909.950,249440.547,1008012.500,43253.559,992677.667,270671.610,1.158,1.116,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,600,10,600,0.000,1.000
1,8959025.000,10,10,600,600,60.000,0.000,60.000,0.000,133.943,2.232,862006.700,259413.736,1041675.500,104765.424,989636.667,269024.002,1.123,1.116,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,600,10,600,0.000,1.000
1,61.000,1,1,60,60,60.000,0.000,60.000,0.000,1967213.115,32786.885,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16393.443,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,60,0,0,0.000,1.000
1,27571653.000,29,28,1740,1680,60.000,0.000,60.000,0.000,124.040,2.067,958882.807,291244.933,1003145.630,215855.761,1021162.519,342367.569,1.053,1.016,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,29,1740,27,1620,0.000,1.000
