Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Mean,Bwd IAT Std,Fwd Packets/s,Bwd Packets/s,Packet Length Mean,Packet Length Std,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Active Mean,Idle Mean
6,0.000,1,0,16,0,16.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.000,0.000,1,0,0,1,0,1,0.000,0.000,0.000,0.000,1,16,0,0,0.000,0.000
6,3278883.000,8062,0,0,0,0.000,0.000,0.000,0.000,0.000,2458.764,261.008,206.667,261.072,206.667,0.000,0.000,2458.764,0.000,0.000,0.000,0,0,8062,0,0,0,0.000,0.000,0.000,0.000,8062,0,0,0,0.001,0.999
6,0.000,1,0,16,0,16.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.000,0.000,1,0,0,0,0,0,0.000,0.000,0.000,0.000,1,16,0,0,0.000,0.000
6,6294696.000,310,1,0,0,0.000,0.000,0.000,0.000,0.000,49.407,20203.489,145638.480,20400.276,145638.347,0.000,0.000,49.248,1.748,0.000,0.000,0,311,0,0,1,0,0.000,0.000,0.000,0.000,306,0,1,0,0.000,1.000
6,12787331.000,5105,132,51050,0,10.000,0.000,0.000,0.000,3992.233,409.546,4323.144,143375.661,1934.024,37484.261,97488.397,870451.725,482.435,10.323,9.000,1.737,0,5237,0,0,132,0,0.000,0.000,0.000,0.000,5105,51050,132,0,0.000,1.000
6,13225253.000,2611,0,0,0,0.000,0.000,0.000,0.000,0.000,197.425,4883.957,51977.592,4887.701,51977.591,0.000,0.000,197.425,0.000,0.000,0.000,0,0,2611,0,0,0,0.000,0.000,0.000,0.000,2609,0,0,0,0.000,1.000
6,13685919.000,5717,414,54130,0,9.000,2.292,0.000,0.000,3955.160,447.979,4114.573,46398.173,2161.999,15638.797,31163.731,166654.942,417.729,30.990,8.000,3.321,0,5827,304,0,414,0,0.000,0.000,0.000,0.000,5714,54100,414,0,0.000,1.000
6,596911.000,2,1,16,0,8.000,8.000,0.000,0.000,26.805,5.026,0.000,0.000,0.000,0.000,0.000,0.000,3.351,3.578,5.000,7.550,0,2,1,0,1,0,0.000,0.000,0.000,0.000,2,16,1,0,0.000,1.000
6,8139316.000,797,0,0,0,0.000,0.000,0.000,0.000,0.000,97.920,7464.434,108853.148,7483.213,108853.147,0.000,0.000,97.920,0.000,0.000,0.000,797,0,0,797,0,797,0.000,0.000,0.000,0.000,771,0,0,0,0.000,1.000
6,9797837.000,2061,93,20600,0,9.000,1.019,0.000,0.000,2102.505,219.844,8845.219,91980.026,4579.613,42680.229,104599.761,384007.403,212.109,9.492,9.000,2.119,0,2153,1,0,93,0,0.000,0.000,0.000,0.000,2035,20340,93,0,0.000,1.000
6,23601866.000,3894,103,0,0,0.000,0.000,0.000,0.000,0.000,169.351,8716.901,84984.612,5786.617,33778.111,120783.716,475798.088,164.987,7.569,0.000,0.000,0,3992,5,0,103,0,0.000,0.000,0.000,0.000,3894,0,103,0,0.000,1.000
6,6632563.000,174,4,0,0,0.000,0.000,0.000,0.000,0.000,26.837,51527.264,202456.027,38554.012,74102.055,846854.333,1197486.512,26.234,0.738,0.000,0.000,0,178,0,0,4,0,0.000,0.000,0.000,0.000,173,0,4,0,0.000,1.000
