Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Mean,Bwd IAT Std,Fwd Packets/s,Bwd Packets/s,Packet Length Mean,Packet Length Std,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Active Mean,Idle Mean
6,5044026.000,7,6,278,3380,39.000,103.864,563.000,648.537,725.214,2.577,772841.538,2021924.598,1008773.000,2016712.552,1000615.000,2000421.015,1.388,1.199,281.000,517.066,1,2,0,2,12,0,0.000,0.000,1448.000,2.000,7,278,6,3380,0.000,1.000
6,11008626.000,18,12,356,293,19.000,49.205,24.000,37.522,58.954,2.725,733892.567,1093893.745,688022.000,1040578.773,1000765.909,1134833.882,1.635,1.090,21.000,44.185,2,2,2,14,27,0,0.000,0.000,0.000,0.000,18,356,12,293,0.000,1.000
6,13257011.000,62,83,4096,10584,66.000,160.765,127.000,263.573,1107.339,10.938,182850.090,494856.788,220943.617,531212.170,161666.415,464841.615,4.677,6.261,101.000,227.141,0,2,0,93,144,0,1288.000,1.000,1296.000,3.000,62,4096,83,10584,0.000,1.000
6,5047796.000,8,7,278,3380,34.000,97.447,482.000,631.960,724.673,2.972,670296.000,1879432.921,841266.333,1879581.470,834473.667,1864275.876,1.585,1.398,243.000,490.775,2,2,0,2,14,0,0.000,0.000,1448.000,2.000,8,278,7,3380,0.000,1.000
6,3234805.000,28,34,2288,3768,81.000,238.188,110.000,226.974,1872.138,19.167,104342.919,386303.070,124406.962,409256.421,98020.606,366722.859,8.656,10.511,97.000,230.811,2,2,0,37,61,0,1288.000,1.000,1136.000,1.000,28,2288,33,3768,0.000,1.000
6,5050132.000,8,7,278,3380,34.000,97.447,482.000,631.960,724.338,2.970,670537.733,1879573.691,841649.000,1879894.316,834695.333,1864233.112,1.584,1.398,243.000,490.775,2,2,0,2,14,0,0.000,0.000,1448.000,2.000,8,278,7,3380,0.000,1.000
6,11008388.000,18,12,356,293,19.000,49.205,24.000,37.522,58.955,2.725,733866.633,1093838.758,687996.375,1040902.553,1000732.455,1134273.529,1.635,1.090,21.000,44.185,2,2,2,14,27,0,0.000,0.000,0.000,0.000,18,356,12,293,0.000,1.000
6,5042774.000,8,7,278,3380,34.000,97.447,482.000,631.960,725.394,2.975,669641.933,1878378.018,840444.167,1878488.926,833660.667,1863279.841,1.586,1.399,243.000,490.775,2,2,0,2,14,0,0.000,0.000,1448.000,2.000,8,278,7,3380,0.000,1.000
6,13325875.000,60,77,3840,10904,64.000,163.812,141.000,298.663,1106.419,10.281,194531.248,535524.172,229746.224,569374.182,175335.526,506881.193,4.503,5.778,107.000,251.403,2,2,0,84,136,0,1288.000,1.000,1314.000,4.000,60,3840,77,10904,0.000,1.000
6,11008498.000,18,12,356,293,19.000,49.205,24.000,37.522,58.954,2.725,733879.700,1093994.653,688013.688,1041079.112,1000742.909,1134407.730,1.635,1.090,21.000,44.185,2,2,2,14,27,0,0.000,0.000,0.000,0.000,18,356,12,293,0.000,1.000
6,5049418.000,8,7,278,3380,34.000,97.447,482.000,631.960,724.440,2.971,670501.933,1879653.598,841515.833,1879795.075,834739.000,1864496.233,1.584,1.398,243.000,490.775,2,2,0,2,14,0,0.000,0.000,1448.000,2.000,8,278,7,3380,0.000,1.000
6,6303918.000,41,52,2880,14312,70.000,197.895,275.000,463.127,2727.193,14.753,135560.699,437507.531,161627.154,466241.122,123601.686,413391.334,6.504,8.249,184.000,383.645,2,2,0,52,92,0,1288.000,1.000,1371.000,7.000,40,2880,51,14312,0.000,1.000
