Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Mean,Bwd IAT Std,Fwd Packets/s,Bwd Packets/s,Packet Length Mean,Packet Length Std,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Active Mean,Idle Mean
17,40692.000,2,2,80,2250,40.000,0.000,1125.000,16.000,57259.412,98.299,238.000,0.000,0.000,0.000,952.000,0.000,8771.930,49.150,582.000,542.618,0,0,0,0,0,0,0.000,0.000,1125.000,2.000,1,40,2,2250,0.000,1.000
17,1122.000,8,0,264,0,33.000,0.000,0.000,0.000,235294.118,7130.125,130.500,231.024,174.000,226.891,0.000,0.000,7130.125,0.000,33.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,8,264,0,0,0.004,0.996
17,15915.000,12,0,336,0,28.000,0.000,0.000,0.000,21112.158,754.006,1314.000,3848.362,1576.800,3839.379,0.000,0.000,754.006,0.000,28.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,12,336,0,0,0.001,0.999
17,26313.000,2,2,56,100,28.000,0.000,50.000,6.000,5928.628,152.016,3543.250,0.000,0.000,0.000,14173.000,0.000,141.183,76.008,39.000,11.790,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,56,2,100,0.000,1.000
17,25319.000,2,2,56,100,28.000,0.000,50.000,6.000,6161.381,157.984,3124.000,0.000,0.000,0.000,12496.000,0.000,149.231,78.992,39.000,11.790,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,56,2,100,0.000,1.000
17,5079448.000,4,3,132,477,33.000,0.000,159.000,11.314,119.895,1.378,1440651.429,2708903.085,2519013.000,2486355.000,2523267.000,2481820.000,0.794,0.591,87.000,62.792,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,99,3,477,0.000,1.000
17,25814.000,2,2,64,108,32.000,0.000,54.000,6.000,6663.051,154.955,3143.500,0.000,0.000,0.000,12574.000,0.000,148.577,77.477,43.000,11.790,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,64,2,108,0.000,1.000
17,43281.000,2,2,70,172,35.000,0.000,86.000,6.000,5591.368,92.419,7610.250,0.000,0.000,0.000,30441.000,0.000,153.917,46.210,60.000,25.855,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,70,2,172,0.000,1.000
17,243072.000,4,4,120,310,30.000,2.000,77.500,26.101,1769.023,32.912,49301.125,76574.209,95505.000,53454.000,67799.667,78117.866,17.325,16.456,53.000,30.121,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,120,4,310,0.000,1.000
17,550025.000,4,4,148,334,37.000,2.000,83.500,14.637,876.324,14.545,130471.625,230401.225,253427.000,219023.000,178973.000,209911.310,7.690,7.272,60.000,25.490,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,148,4,334,0.000,1.000
17,87446.000,2,2,64,462,32.000,0.000,231.000,104.000,6015.141,45.743,8723.500,0.000,0.000,0.000,34894.000,0.000,37.931,22.871,131.000,123.728,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,64,2,462,0.000,1.000
17,95492.000,4,4,128,586,32.000,0.000,146.500,25.194,7477.066,83.777,19414.625,26418.414,35868.500,24353.500,27860.000,22715.957,47.717,41.888,89.000,59.958,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,128,4,586,0.000,1.000
17,44488.000,2,2,66,502,33.000,0.000,251.000,72.000,12767.488,89.912,7850.000,0.000,0.000,0.000,31400.000,0.000,149.566,44.956,142.000,120.304,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,66,2,502,0.000,1.000
17,24168.000,2,2,66,167,33.000,0.000,83.500,20.500,9640.847,165.508,2931.750,0.000,0.000,0.000,11727.000,0.000,156.372,82.754,58.000,29.116,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,66,2,167,0.000,1.000
17,5027663.000,4,3,112,144,28.000,0.000,48.000,5.657,50.918,1.392,1433015.714,2717597.501,2508105.000,2496101.000,2507450.000,2495982.000,0.797,0.597,36.000,10.583,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,112,3,144,0.000,1.000
17,6250.000,2,2,80,2236,40.000,0.000,1118.000,21.000,370560.000,640.000,19.000,0.000,0.000,0.000,76.000,0.000,2181.025,320.000,579.000,539.205,0,0,0,0,0,0,0.000,0.000,1118.000,2.000,2,80,2,2236,0.000,1.000
