Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Mean,Bwd IAT Std,Fwd Packets/s,Bwd Packets/s,Packet Length Mean,Packet Length Std,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Active Mean,Idle Mean
3569502.000,4597,4597,0,0,0.000,0.000,0.000,0.000,0.000,2575.709,690.627,641.663,691.647,657.592,690.059,625.332,1291.719,1287.855,0.000,0.000,0,0,4597,0,4597,0,0.000,0.000,0.000,0.000,4584,0,4597,0,0.004,0.996
6667916.000,6513,6513,0,0,0.000,0.000,0.000,0.000,0.000,1953.534,899.260,850.411,893.812,855.108,905.121,845.650,989.108,976.767,0.000,0.000,0,0,6513,0,6513,0,0.000,0.000,0.000,0.000,6513,0,6513,0,0.003,0.997
5411463.000,5888,5888,0,0,0.000,0.000,0.000,0.000,0.000,2176.121,813.182,826.857,812.553,835.081,814.226,818.550,1090.595,1088.061,0.000,0.000,0,0,5888,0,5888,0,0.000,0.000,0.000,0.000,5882,0,5888,0,0.003,0.997
96933165.000,23347,23347,0,0,0.000,0.000,0.000,0.000,0.000,481.713,3714.612,3678.173,3720.522,3696.595,3709.180,3659.649,240.876,240.857,0.000,0.000,23347,0,23347,0,23347,0,0.000,0.000,0.000,0.000,23347,0,23347,0,0.001,0.999
86967224.000,14211,0,0,0,0.000,0.000,0.000,0.000,0.000,163.406,5851.000,7797.664,5851.824,7797.664,0.000,0.000,163.406,0.000,0.000,0.000,0,0,14211,0,0,0,0.000,0.000,0.000,0.000,14208,0,0,0,0.000,1.000
82807509.000,13082,13082,0,0,0.000,0.000,0.000,0.000,0.000,315.962,6076.817,7545.513,6077.077,7334.635,6077.951,7750.639,158.008,157.981,0.000,0.000,13082,0,13082,0,13082,0,0.000,0.000,0.000,0.000,13082,0,13082,0,0.000,1.000
75380220.000,11274,11274,0,0,0.000,0.000,0.000,0.000,0.000,299.124,6470.040,8714.966,6468.093,8517.931,6473.708,8907.625,149.589,149.562,0.000,0.000,0,11274,11274,0,11274,0,0.000,0.000,0.000,0.000,11274,0,11274,0,0.000,1.000
4406392.000,78,78,0,0,0.000,0.000,0.000,0.000,0.000,35.403,56106.673,9498.668,57195.724,9466.612,57217.740,9403.173,17.703,17.702,0.000,0.000,0,78,78,0,78,0,0.000,0.000,0.000,0.000,78,0,78,0,0.000,1.000
55720438.000,18631,18631,0,0,0.000,0.000,0.000,0.000,0.000,668.731,2622.965,2161.376,2621.203,2170.275,2625.149,2152.439,334.940,334.366,0.000,0.000,18631,0,18631,18631,18631,18631,0.000,0.000,0.000,0.000,18631,0,18631,0,0.001,0.999
0.000,1,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,1,0,0,0,0,0.000,0.000,0.000,0.000,1,0,0,0,0.000,0.000
