Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Mean,Bwd IAT Std,Fwd Packets/s,Bwd Packets/s,Packet Length Mean,Packet Length Std,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Active Mean,Idle Mean
6019408.000,17,10,971,331,57.000,212.590,33.000,47.482,216.300,4.485,445842.037,491487.648,401254.867,475950.915,668768.000,462171.130,2.824,1.661,48.000,166.949,2,2,2,13,24,0,0.000,0.000,0.000,0.000,17,971,10,331,0.000,1.000
6015485.000,17,10,548,331,32.000,110.411,33.000,47.482,146.123,4.488,445488.481,495660.480,400935.533,481432.117,668239.556,464675.919,2.826,1.662,32.000,89.985,2,2,2,13,24,0,0.000,0.000,0.000,0.000,17,548,10,331,0.000,1.000
5529.000,8,6,278,3380,34.000,97.447,563.000,648.537,661602.460,2532.103,683.857,757.630,803.833,748.900,950.200,708.218,1446.916,1164.596,261.000,503.500,2,2,0,2,13,0,0.000,0.000,1448.000,2.000,8,278,6,3380,0.004,0.996
1382841.000,24,20,3736,4120,155.000,369.657,206.000,397.262,5681.058,31.819,62827.341,229867.066,62826.591,221997.117,72748.316,238449.340,17.356,14.467,178.000,379.918,2,2,0,23,43,0,1328.000,2.000,1292.000,2.000,24,3736,20,4120,0.000,1.000
3096.000,8,6,278,3380,34.000,97.447,563.000,648.537,1181524.548,4521.964,395.429,506.214,453.667,539.458,562.800,427.147,2583.979,2038.043,261.000,503.500,2,2,0,2,13,0,0.000,0.000,1448.000,2.000,8,278,6,3380,0.010,0.990
3864.000,8,6,278,3380,34.000,97.447,563.000,648.537,946687.371,3623.188,499.214,679.497,584.000,714.094,697.000,596.754,2070.393,1620.308,261.000,503.500,2,2,0,2,13,0,0.000,0.000,1448.000,2.000,8,278,6,3380,0.005,0.995
12649131.000,27,16,1245,561,46.000,211.472,35.000,52.629,142.777,3.399,588305.698,859354.276,505946.720,806765.715,843231.800,899015.503,2.135,1.265,42.000,167.776,4,4,2,19,39,0,1104.000,1.000,0.000,0.000,27,1245,16,561,0.000,1.000
5065.000,8,6,278,3380,34.000,97.447,563.000,648.537,722211.254,2764.067,575.714,702.158,667.333,703.932,811.200,651.542,1579.467,1255.493,261.000,503.500,2,2,0,2,13,0,0.000,0.000,1448.000,2.000,8,278,6,3380,0.009,0.991
317791.000,21,19,3676,4120,175.000,391.838,216.000,404.688,24531.846,125.869,15855.100,22953.387,16694.421,20406.306,17611.667,25290.416,66.081,59.881,194.000,394.667,0,2,0,22,39,0,1328.000,2.000,1292.000,2.000,21,3676,19,4120,0.000,1.000
4600.000,8,6,278,3380,34.000,97.447,563.000,648.537,795217.391,3043.478,580.429,689.623,679.667,671.621,809.600,663.814,1739.130,1373.312,261.000,503.500,2,2,0,2,13,0,0.000,0.000,1448.000,2.000,8,278,6,3380,0.007,0.993
4656.000,3,4,124,96,41.000,41.000,24.000,25.456,47250.859,1503.436,1053.857,1874.755,3360.000,0.000,1339.000,1682.915,693.481,859.107,31.000,43.686,2,0,0,3,7,0,0.000,0.000,0.000,0.000,3,124,4,96,0.012,0.988
335184.000,21,19,3676,4120,175.000,391.838,216.000,404.688,23258.867,119.337,16728.550,23617.670,17615.368,20489.098,18580.556,26442.232,62.652,56.767,194.000,394.667,0,2,0,22,39,0,1328.000,2.000,1292.000,2.000,21,3676,19,4120,0.000,1.000
4409.000,3,4,124,96,41.000,41.000,24.000,25.456,49897.936,1587.662,1021.000,1866.161,3311.000,0.000,1278.667,1681.958,724.463,907.235,31.000,43.686,2,0,0,3,7,0,0.000,0.000,0.000,0.000,3,124,4,96,0.003,0.997
326050.000,21,19,3676,4120,175.000,391.838,216.000,404.688,23910.443,122.681,16265.600,23152.799,17128.263,20597.311,18065.944,25495.872,64.407,58.364,194.000,394.667,0,2,0,22,39,0,1328.000,2.000,1292.000,2.000,21,3676,19,4120,0.000,1.000
4875.000,3,4,124,96,41.000,41.000,24.000,25.456,45128.205,1435.897,1067.000,1925.340,3347.000,0.000,1374.000,1765.087,669.045,820.513,31.000,43.686,2,0,0,3,7,0,0.000,0.000,0.000,0.000,3,124,4,96,0.003,0.997
6018720.000,17,10,793,331,46.000,169.569,33.000,47.482,186.751,4.486,445795.741,492983.516,401216.467,479374.832,668693.111,460533.950,2.825,1.662,41.000,134.148,2,2,2,13,24,0,0.000,0.000,0.000,0.000,17,793,10,331,0.000,1.000
